,date,Origin,ArrDelay
55,2001-12-31,ATL,2.0589683773976155
56,2001-12-31,DFW,-1.2724218284289817
57,2001-12-31,LAX,-1.0323719328454584
58,2001-12-31,ORD,2.177112267057219
59,2001-12-31,STL,1.4697936609232078
0,2002-01-31,ATL,6.269036531776743
1,2002-01-31,DFW,-1.894426406926407
2,2002-01-31,LAX,-3.1431038949822954
3,2002-01-31,ORD,-0.8644945947292383
4,2002-01-31,STL,-0.9741663235899547
5,2002-02-28,ATL,3.8586522986494995
6,2002-02-28,DFW,-3.097275089118482
7,2002-02-28,LAX,-3.836941373223079
8,2002-02-28,ORD,-2.3696052916937758
9,2002-02-28,STL,-2.5122802933302295
10,2002-03-31,ATL,6.079231246125232
11,2002-03-31,DFW,0.9787675606641124
12,2002-03-31,LAX,-3.20613273824283
13,2002-03-31,ORD,2.919039968842802
14,2002-03-31,STL,-0.5699753720955134
15,2002-04-30,ATL,4.9149072296865
16,2002-04-30,DFW,-1.7961915125136017
17,2002-04-30,LAX,-4.240053382267078
18,2002-04-30,ORD,0.7721900456750012
19,2002-04-30,STL,-1.6238684036211084
20,2002-05-31,ATL,3.579176388976477
21,2002-05-31,DFW,-2.6359812838441723
22,2002-05-31,LAX,-4.1266448680118035
23,2002-05-31,ORD,-1.9388458225667529
24,2002-05-31,STL,0.053493565883228754
25,2002-06-30,ATL,5.4396241881581435
26,2002-06-30,DFW,0.2690912969283277
27,2002-06-30,LAX,-1.7162809257781324
28,2002-06-30,ORD,4.51171212468485
29,2002-06-30,STL,0.31264494754279404
30,2002-07-31,ATL,5.89405032917
31,2002-07-31,DFW,0.9008205128205128
32,2002-07-31,LAX,0.11664472155526295
33,2002-07-31,ORD,-0.04827116914047548
34,2002-07-31,STL,-0.8787494719053655
35,2002-08-31,ATL,1.7490911331566947
36,2002-08-31,DFW,-1.4981810729107956
37,2002-08-31,LAX,-1.526584011561573
38,2002-08-31,ORD,0.07069112627986349
39,2002-08-31,STL,-2.3570087263890422
40,2002-09-30,ATL,-2.719895111947825
41,2002-09-30,DFW,-5.531881804043546
42,2002-09-30,LAX,-5.255972130059721
43,2002-09-30,ORD,-4.624826722711622
44,2002-09-30,STL,-5.6988561107766404
45,2002-10-31,ATL,2.161313209494324
46,2002-10-31,DFW,-3.0870944632074506
47,2002-10-31,LAX,-4.656076570417437
48,2002-10-31,ORD,-2.9766260162601625
49,2002-10-31,STL,-3.559271561104112
